Stock,Comment,Commented By,Timestamp
SRF,Big  Moves  Expected  in  the  Market   Find  out  which  stocks  are  set  to  skyrocket,fyvv8003,2025-03-21 02:08:00
SRF,"The  Fixed  Income:  Changing  the  Way  India  Invests

Built  with  love  in  India,  we  empower  over  1,50,000  investors  to  grow  with  stability.  Whether  it’s  corporate  bonds,  government  bonds,  fixed  deposits,  or  more,  our  platform  helps  you  build  a  solid  financial  foundation  with  predictable,  stable  returns.

Explore  Now:https://shorturl.at/keFwR",The Fixed Income,2025-03-21 02:00:00
SRF,Next  two  quarters  are  likely  to  be  strong  in  view  of  refrigeent  gas  demand.  Results  wise  positive  but  too  expensive.,Cool Bull,2025-03-21 01:58:00
SRF,it  has  really  held  on.  in  this  carnage.  kudos  to  people  behind  this  manipulation.,Cool Bull,2025-03-20 12:18:00
SRF,It  is  mainly  FNO  operator  play.  Look  at  huge  premiums  of  options  and  futures  when  both  chemicals  and  packaging  segments  under  performing.,Cool Bull,2025-03-19 11:31:00
SRF,SRF  is  posting  weak  results  quarter  after  quarter.  But  the  stock  price  is  at  all  time  high.  Sell  now  and  buy  after  next  quarter  results,sam4sure,2025-03-18 23:05:00
SRF,good  to  buy  ...  keep  accumulating  in  every  dip.  strong  stock.  will  move  above  3200  in  short  term,JP_Rocket,2025-03-18 08:45:00
SRF,huge  buying  is  done  by  someone  at  these  levels  in  cash  market  thats  why  its  not  going  down.......,ChachaChaudhary,2025-03-17 11:38:00
SRF,"Kanpur  Plastipack  Limited  -  The  Company  has  signed  an  Assets  Purchase  Agreement  with  the  SRF  Limited  for  sale  of  plant  and  machinery  of  its  CPP  division  on  as  is  where  is  basis

Kanpur  Plastipack  Limited  -  The  Company  has  signed  an  Assets  Purchase  Agreement  with  the  SRF  Limited  for  sale  of  plant  and  machinery  of  its  CPP  division  on  as  is  where  is  basis",kamal20,2025-03-17 11:19:00
SRF,Ready  to  break  3000  levels.  3200  is  the  short  term  target.,crisil_score,2025-03-16 19:29:00
SRF,it  is  sustaining  at  this  level    because  operators  are  managing  or  manipulating  through  fno.  otherwise  outlook  for  chemicals  and  packaging  are  not  that  great.,Cool Bull,2025-03-14 14:38:00
SRF,"The  chemicals  company  has  incorporated  a  wholly-owned  subsidiary,  SRF  Middle  East  LLC,  in  Dubai,  to  undertake  the  activity  of  trading  in  industrial  gases.",kamal20,2025-03-13 09:12:00
SRF,"srf  ltd  will  enter  into  the  cast  polypropylene    film  business  by  acquiring  the  entire  plant  and  machinery  from  kanpur  plastipack  ltd    for ₹49.25  crore,  the  company  said  in  a  stock  exchange  filing  on  tuesday.",dkrush92,2025-03-12 11:30:00
SRF,"If  you  are  buying  this  ,  buy  only  after  the  next  results..  surely  the  result  will  be  weak  due  to  rural  weakness  in  india.",SmallInv0099,2025-03-12 09:38:00
SRF,"SRF  March  Fut  Low  2864  Sell  From  2898  Down  By  34  Points,  Safe  Traders  Keep  Booking  Part  Profits,  Multiple  Lots  Holder  Hold  Your  Position  For  Provided  Target",SRINIVASA HYD,2025-03-11 10:12:00
SRF,Sell  SRF  March  Fut  Cmp  2898  SL  2936  Tgt  2818  and  2718,SRINIVASA HYD,2025-03-11 09:37:00
SRF,"The  February  business  update  is  very  poor  compared  to  naveen  florin.  Operator  driven  stock.  People  buy  it  because  the  chart  looks  good  otherwise  nothing  good.  Just  like  when  the  divis  lab  was  6200,  all  the  brokerage  house  has  given  a  buy  call  with  a  target  of  6800  but  now  its  trading  at  5400.  one  day  you  will  see  this  stock  trading  at  2000",drramesh29,2025-03-10 17:20:00
SRF,srf  buy  only.  if  you  exit  re  entry  impossible  naviuorine  or  tata  chemical  are  not  for  comprison,tech_54,2025-03-10 12:34:00
SRF,"keep  a  close  watch,  breakout  can  be  seen  -  my  target  for  srf  is  rs  3200  for  the  short  term  with  a  stoploss  of  rs  2800",Latha.Broker,2025-03-08 16:35:00
SRF,buy  it  ready  for  double  investment  target  5000  and  trading  target  3600,anibillon,2025-03-07 17:54:00
SRF,yes.  promoters  are  making  the  most  of  it.  today  mahindra  promoters  sold  a  bit  of  stake  as  the  price  had  gone  up  substantially.  but  who  is  buying  at  these  prices.,Cool Bull,2025-03-07 14:12:00
SRF,"srf  march  fut  high  2940  from  2855,  achieved  1st  target  with  85  points  ,  small  lot  trader  booked  full  profit,  more  lot  trader  book  half  profit  remain  hold  with  sl  ctc  for  second  target",SRINIVASA HYD,2025-03-07 10:35:00
SRF,Worry  is  whether  to  hold  or  book  profit.  Do  you  have  any  answer.  We  have  seen  what  happened  in  Navin  Flourine.,Cool Bull,2025-03-07 06:51:00
SRF,IMHO  those  holding  for  short  term  should  book  some  profit  here.  Stock  is  up  based  on  shortage  and  consequent  high  spot  prices  of  refrigerant  gas.  These  will  moderate  as  supply  comes  in.  See  the  recent  jump.,harriharri,2025-03-06 18:29:00
SRF,only  option  sellers  in  benefit  all  others  in  loss...,goyalmunish,2025-03-06 14:44:00
SRF,High  PE  with  decreasing  profitability.  Dangerous  situation.  Both  packaging  and  chemicals  are  facing  margin  pressure.,Cool Bull,2025-03-06 12:05:00
SRF,"Agree  with  you  from  fundamental  view  point.  These  chemical  companies  enjoyed  COVID  premiums  because  China  and  Europe  shut  downs.  Speculators  extrapolated  Otto  China  plus  one  and  that  resulted  in  earnings  growth  and  PE  multiples  growth  resulting  in  stocks  with  60  to  80  PE.  Now  with  China  coming  back  aggressively  margins  are  likely  to  take  hit  like  what  is  happening  in  API.  If  that  happens  PE  multiples  also  would  go  down  to  realistic  25  levels.  So,  scope  for  correction  is  large.",Cool Bull,2025-03-05 11:01:00
SRF,SRF  can  see  huge  profits  booking   see  2770  level,omu,2025-03-04 23:14:00
SRF,good  returns   profit  and   enter  at  much  lower  price  less  than  2500...  steep  fall  anytime  in  next  one  month  possible...,goyalmunish,2025-03-04 11:02:00
SRF,degrowth  in  revenue  in  the  last  few   its  up...  is  it  manipulative  upside  or  really  buying  strength...,goyalmunish,2025-03-03 15:17:00
SRF,Markets  are  always  forward  looking  SRF  price  is  reflecting  its  future  earning  capability  it  will  surely  flatten  out  at  some  point  if  the  future  growth  also  flattens  but  as  of  now  the  future  prospects  is  high,CFO_AM,2025-02-28 23:03:00
SRF,"When  all  shares  with  high  PE  are  being  hammered  mercilessly,  it  is  strange  that  brokerages  are  giving  higher  price  target  when  SRF  is  at  already  70  plus  PE  levels.  Jefferes  target  appears  reasonable.  Otherwise  all  these  brokerages  gave  higher  targets  and  made  retailers  buy    and  enabled  FII  dumping.  This  will  happen  in  SRF  also  but  timing  will  be  theirs.",Cool Bull,2025-02-28 12:17:00
SRF,SRF  very  bullish  tomorrow  target  is  3050,maderchod,2025-02-27 22:33:00
SRF,J  M  financial  3115  and  Emkay  Global  3250,CFO_AM,2025-02-27 14:39:00
SRF,"Yeah,  right  now  JM  financial  gave  a  target  of  3250",CFO_AM,2025-02-27 14:38:00
SRF,Everything  is  fine.  The  secret  of  SRF  high  price  sustainability  is  derivatives.  With  SEBI  proposing  to  tighten  norms  by  linking  to  cash  market  volumes  disaster  ahead.  Navin  florine  has  gone  down  this  settlement  because  of  discontinuity  in  derivatives  market.,Cool Bull,2025-02-25 12:29:00
SRF,"the  remaining  part  of  the  project  has  been  
commissioned  and  capitalised  on  21st  February,  2025  at  an  aggregate  cost  of  Rs.  361  Crores  appx.",dkrush92,2025-02-22 11:53:00
SRF,hello  sir  how  you  told  SRF  is  going  to  2900k  market  is  going  down  every  day  and  srf  move  one  step  fornt  and  back  three  step  how  you  guess  sir.  any  news,85raj,2025-02-22 06:47:00
SRF,PHir  milega  2640  pe  ye  share,Vickk50,2025-02-21 20:48:00
SRF,tomorrow  it  will  touch  2450,Swapdt,2025-02-21 16:12:00
SRF,"Short  term  Buy  SRF  at  2383  SL  and  target  would  be  2486.60,  There  is  huge  potential  to  unlock  new  high  from  current  level.",MeasurePK,2025-02-20 22:41:00
SRF,pls  exit  from  srf  when  it  reach  2150  then  enter  it  will  be  reamin  between  2100  to  2380,20356192,2025-02-20 14:15:00
SRF,tell  me  dear  how  will  it  reach  2750??,msrana82,2025-02-20 00:20:00
SRF,only  buy  with  targe  of  2750,Jaykumar21,2025-02-16 19:17:00
SRF,"There  are  PSU  stocks  like  PFC,  REC,ONGC  etc  and  MNC  stocks  like  Castrol  where  valuations  are  reasonable  and  earnings  are  growing.  However  our  fund  managers  who  manage  retail  money  keep  on  buying  high  valued  Dixons,  SRFs,  Paytm’s,  Zomato  and  Swiggy  ignoring  the  reasonably  valued  ones.  FPIs  are  happily  selling  these  high  valued  stocks  and  retailers  who  entrust  money  to  MF  mangers  become  losers  in  the  process.  This  is  nothing  but  a  scam  and  goes  on  because  there  is  no  accountability  of  fund  managers.",Cool Bull,2025-02-16 06:53:00
SRF,High  vlauation.  Chemical  Industry  margins  are  not  stable  as  commoditisation  is    common  problem  here.  Hence  more  than  20  PE  is  not  advisable.  This  is  my  opinion  only  and  not  investment  advise.  -  My  target  for  SRF  is  Rs  No  target  for  the  long  term  with  a  stoploss  of  Rs  No  Stop  loss,Cool Bull,2025-02-16 04:11:00
SRF,This  Forum  is  for  discussion  and  I  post  messages  for  discussion  and  not  for  investment  advise.  I  am  only  highlighting  certain  factors  which  are  relevant.  I  do  not  give  any  one  investment  advice.  Also  I  do  not  require  your  advise  whether  to  invest  or  not.  I  am  only  expressing  my  opinion  as  I  find  current  price  exorbitant  compared  to  its  earning  potential.,Cool Bull,2025-02-16 03:59:00
SRF,Looking  weak  on  weekly  chart  better  exit  !  Must  be  a  trap  for  innocent  investors.,3_3MoneyMinter,2025-02-15 11:53:00
SRF,Srf  giraneko  bahut    timenshi  lagega  2200tak,yev,2025-02-14 12:58:00
SRF,"So  dont  invest,  ig  investors  here  are  educated  enough  to  do  their  own  research",CFO_AM,2025-02-14 12:49:00
SRF,"Saw  Deepak  nitrite  results.  horrible.  This  is  the  problem  with  Chemical  Industry.  While  the  outlook  for  SRF  and  Navin  are  bright  in  the  short  term,  medium  to  long  term  margins  will  get  moderated.  Hence  pE  of  70,  80  are  not  sustainable.",Cool Bull,2025-02-14 10:19:00
SRF,Correct  entry  should  be  around  2200  for  quick  5%  gains.,3_3MoneyMinter,2025-02-14 10:14:00
SRF,Even  in  this  kind  of  weak  market  srf  was  keeping  strong.      Be  ready  for  3000  by  next  week  SL  2770.,nikhael_g,2025-02-13 15:47:00
SRF,"Another  round  to  trap  poor  investors,  better  to  exit  this  counter  or  short  if  possible.",3_3MoneyMinter,2025-02-13 13:34:00
SRF,"well,  it  is  clear  to  me  that  next  year  2024-2025  shall  be  a  better  year  for  srf  as  compared  to  now  due  to  the  chemical  sector  rebound  and  that  the  stock  price  shall  catch  up  to  this  soon.",rocky0615,2025-02-11 20:07:00
